OID_,UniqueID,DWR_REVISE,SYMB_CLASS,MULTIUSE,CLASS1,SUBCLASS1,SPECOND1,IRR_TYP1PA,IRR_TYP1PB,PCNT1,CLASS2,SUBCLASS2,SPECOND2,IRR_TYP2PA,IRR_TYP2PB,PCNT2,CLASS3,SUBCLASS3,SPECOND3,IRR_TYP3PA,IRR_TYP3PB,PCNT3,CLASS4,SUBCLASS4,SPECOND4,IRR_TYP4PA,IRR_TYP4PB,PCNT4,UCF_ATT,CROPTYP1,ADOY1,CROPTYP2,ADOY2,CROPTYP3,ADOY3,CROPTYP4,ADOY4,REGION,ACRES,COUNTY,LIQ_REPORT,Shape_STAr,Shape_STLe
0,4300052, ,V,S,**,**,*,*,*,**, V,**,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* V*****00******************,****,0.000000000000000,V,0.000000000000000,****,0.000000000000000,****,0.000000000000000,SCRO,15.269869999999999,Santa Clara,V    **** **** ****,97138.382787900001858,1523.838164150000011
1,4300203, ,G,S,**,**,*,*,*,**, G, 6,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* G 6***00******************,****,0.000000000000000,G6,72.000000000000000,****,0.000000000000000,****,0.000000000000000,SCRO,6.958830000000000,Santa Clara,G6   **** **** ****,44267.346096900000703,992.625868251000043
2,4300202, ,T,S,**,**,*,*,*,**, T,16,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* T16***00******************,****,0.000000000000000,T16,0.000000000000000,****,0.000000000000000,****,0.000000000000000,SCRO,3.561840000000000,Santa Clara,T16  **** **** ****,22641.676337600001716,733.966889003999995
3,4300201, ,V,S,**,**,*,*,*,**, V,**,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* V*****00******************,****,0.000000000000000,V,0.000000000000000,****,0.000000000000000,****,0.000000000000000,SCRO,4.612140000000000,Santa Clara,V    **** **** ****,29356.605451899999025,721.538571494000053
4,4300200, ,T,D,**,**,*,*,*,**, T,30,*,*,*,00, T,30,*,*,*,00,**,**,*,*,*,**,D********* T30***00 T30***00*********,****,0.000000000000000,T30,152.000000000000000,T30,257.000000000000000,****,0.000000000000000,SCRO,18.842970000000001,Santa Clara,T30  T30  **** ****,119629.775202999997418,1526.473554670000112
5,4300199, ,T,S,**,**,*,*,*,**, T,15,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* T15***00******************,****,0.000000000000000,T15,216.000000000000000,****,0.000000000000000,****,0.000000000000000,SCRO,19.978420000000000,Santa Clara,T15  **** **** ****,127122.201581999994232,1433.853882569999996
6,4300197, ,T,S,**,**,*,*,*,**, T,27,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* T27***00******************,****,0.000000000000000,T27,0.000000000000000,****,0.000000000000000,****,0.000000000000000,SCRO,1.005390000000000,Santa Clara,T27  **** **** ****,6398.747565089999625,320.223607372000004
7,4300196, ,X,S,**,**,*,*,*,**, X,**,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* X*****00******************,****,0.000000000000000,X,0.000000000000000,****,0.000000000000000,****,0.000000000000000,SCRO,2.406340000000000,Santa Clara,X    **** **** ****,15323.502930599999672,549.213993493999965
8,4300195, ,T,S,**,**,*,*,*,**, T,16,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* T16***00******************,****,0.000000000000000,T16,0.000000000000000,****,0.000000000000000,****,0.000000000000000,SCRO,1.940280000000000,Santa Clara,T16  **** **** ****,12345.439260200000717,462.157406198999979
9,4300191, ,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,SCRO,4.089040000000000,Santa Clara,D13  **** **** ****,26001.146075699998619,799.172051250999971
