OID_,UniqueID,DWR_REVISE,SYMB_CLASS,MULTIUSE,CLASS1,SUBCLASS1,SPECOND1,IRR_TYP1PA,IRR_TYP1PB,PCNT1,CLASS2,SUBCLASS2,SPECOND2,IRR_TYP2PA,IRR_TYP2PB,PCNT2,CLASS3,SUBCLASS3,SPECOND3,IRR_TYP3PA,IRR_TYP3PB,PCNT3,CLASS4,SUBCLASS4,SPECOND4,IRR_TYP4PA,IRR_TYP4PB,PCNT4,UCF_ATT,YR_PLANTED,SEN_CROP,CROPTYP1,ADOY1,CROPTYP2,ADOY2,CROPTYP3,ADOY3,CROPTYP4,ADOY4,EMRG_CROP,REGION,ACRES,COUNTY,HYDRO_RGN,LIQ_REPORT,MAIN_CROP,MAIN_CROP_
0,4300191,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,1984,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,SCRO,4.088994160000000,Santa Clara,Central Coast,D13  **** **** ****,D13,0.000000000000000
1,4300155,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,2013,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,SCRO,3.237415240000000,Santa Clara,Central Coast,D13  **** **** ****,D13,0.000000000000000
2,4300122,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,1994,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,SCRO,31.644910299999999,Santa Clara,Central Coast,D13  **** **** ****,D13,0.000000000000000
3,4300070,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,1984,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,SCRO,0.363731800000000,Santa Clara,Central Coast,D13  **** **** ****,D13,0.000000000000000
4,4300051,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,1990,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,SCRO,1.150667930000000,Santa Clara,Central Coast,D13  **** **** ****,D13,0.000000000000000
5,4300018,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,2007,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,SCRO,2.447612430000000,Santa Clara,Central Coast,D13  **** **** ****,D13,0.000000000000000
6,4302780,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,2008,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,SCRO,13.136534050000000,Santa Clara,Central Coast,D13  **** **** ****,D13,0.000000000000000
7,4302768,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,2007,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,SCRO,3.947350300000000,Santa Clara,Central Coast,D13  **** **** ****,D13,0.000000000000000
8,4302618,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,1984,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,SCRO,1.258838860000000,Santa Clara,Central Coast,D13  **** **** ****,D13,0.000000000000000
9,4302612,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,1990,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,SCRO,2.358635970000000,Santa Clara,Central Coast,D13  **** **** ****,D13,0.000000000000000
10,4302562,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,1984,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,NCRO,0.941026090000000,Santa Clara,San Francisco Bay,D13  **** **** ****,D13,0.000000000000000
11,4302503,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,1996,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,SCRO,2.814767990000000,Santa Clara,Central Coast,D13  **** **** ****,D13,0.000000000000000
12,4302422,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,1990,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,NCRO,5.416862150000000,Santa Clara,San Francisco Bay,D13  **** **** ****,D13,0.000000000000000
13,4302316,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,2014,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,SCRO,1.722397530000000,Santa Clara,Central Coast,D13  **** **** ****,D13,0.000000000000000
14,4302238,*,D,S,**,**,*,*,*,**, D,13,*,*,*,00,**,**,*,*,*,**,**,**,*,*,*,**,S********* D13***00******************,2008,****,****,0.000000000000000,D13,0.000000000000000,****,0.000000000000000,****,0.000000000000000,****,SCRO,1.705685420000000,Santa Clara,Central Coast,D13  **** **** ****,D13,0.000000000000000
